perturbation_id,source_world_id,perturbation_mode,delete_k,repeat_index,t_perturb,T_post,T_total,representative_class_id,representative_init_id,deleted_edge_ids,deleted_edge_sources,deleted_edge_targets,deleted_edge_signs,deleted_edge_strengths,deleted_abs_strength_sum,deleted_activation_count,deleted_repression_count,deleted_edges_in_largest_scc_count,deleted_cycle_associated_count,rho_W_pre,rho_W_post,delta_rho_W,n_edges_pre,n_edges_post,random_seed_perturbation
baseline_balanced_r010_t000_A_r0_rep0,baseline_balanced_r010_t000,random_delete_5,5,0,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0022,baseline_balanced_r010_t000_e0018,baseline_balanced_r010_t000_e0009,baseline_balanced_r010_t000_e0011,baseline_balanced_r010_t000_e0028","2,14,8,4,11","12,11,7,7,14","1,1,1,-1,-1","0.06793031,0.04390979,0.03690265,-0.05286008,-0.07501901",0.27662184,3,2,4,0,0.891363,0.88997,-0.001393,38,33,0
baseline_balanced_r010_t000_A_r1_rep0,baseline_balanced_r010_t000,random_delete_5,5,1,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0017,baseline_balanced_r010_t000_e0001,baseline_balanced_r010_t000_e0027,baseline_balanced_r010_t000_e0035,baseline_balanced_r010_t000_e0016","2,7,17,16,7","11,1,14,18,11","-1,1,1,-1,1","-0.08491566,0.0355803,0.0997084,-0.06540401,0.06192566",0.34753403,3,2,5,0,0.891363,0.88997,-0.001393,38,33,1
baseline_balanced_r010_t000_A_r2_rep0,baseline_balanced_r010_t000,random_delete_5,5,2,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0011,baseline_balanced_r010_t000_e0003,baseline_balanced_r010_t000_e0028,baseline_balanced_r010_t000_e0009,baseline_balanced_r010_t000_e0015","4,11,11,8,9","7,1,14,7,11","-1,1,-1,1,-1","-0.05286008,0.09094006,-0.07501901,0.03690265,-0.06149058",0.31721238,2,3,3,0,0.891363,0.88997,-0.001393,38,33,2
baseline_balanced_r010_t000_A_r3_rep0,baseline_balanced_r010_t000,random_delete_5,5,3,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0006,baseline_balanced_r010_t000_e0027,baseline_balanced_r010_t000_e0002,baseline_balanced_r010_t000_e0008,baseline_balanced_r010_t000_e0037","1,17,10,12,9","3,14,1,7,19","-1,1,1,-1,-1","-0.03040745,0.0997084,0.04555071,-0.04119609,-0.07991931",0.29678196,2,3,4,0,0.891363,0.88997,-0.001393,38,33,3
baseline_balanced_r010_t000_A_r4_rep0,baseline_balanced_r010_t000,random_delete_5,5,4,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0033,baseline_balanced_r010_t000_e0031,baseline_balanced_r010_t000_e0024,baseline_balanced_r010_t000_e0018,baseline_balanced_r010_t000_e0035","15,10,0,14,16","17,15,12,11,18","1,1,1,1,-1","0.08192547,0.05466846,0.03767331,0.04390979,-0.06540401",0.28358104,4,1,5,0,0.891363,0.856791,-0.034572,38,33,4
baseline_balanced_r010_t000_A_r5_rep0,baseline_balanced_r010_t000,random_delete_5,5,5,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0029,baseline_balanced_r010_t000_e0028,baseline_balanced_r010_t000_e0022,baseline_balanced_r010_t000_e0017,baseline_balanced_r010_t000_e0000","5,11,2,2,2","14,14,12,11,0","1,-1,1,-1,1","0.06555906,-0.07501901,0.06793031,-0.08491566,0.09833075",0.39175479,3,2,5,0,0.891363,0.891754,0.000391,38,33,5
baseline_balanced_r010_t000_A_r6_rep0,baseline_balanced_r010_t000,random_delete_5,5,6,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0012,baseline_balanced_r010_t000_e0015,baseline_balanced_r010_t000_e0037,baseline_balanced_r010_t000_e0035,baseline_balanced_r010_t000_e0018","10,9,9,16,14","8,11,19,18,11","1,-1,-1,-1,1","0.07823585,-0.06149058,-0.07991931,-0.06540401,0.04390979",0.32895954,2,3,3,0,0.891363,0.88997,-0.001393,38,33,6
baseline_balanced_r010_t000_A_r7_rep0,baseline_balanced_r010_t000,random_delete_5,5,7,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0021,baseline_balanced_r010_t000_e0024,baseline_balanced_r010_t000_e0032,baseline_balanced_r010_t000_e0037,baseline_balanced_r010_t000_e0033","10,0,3,9,15","12,12,16,19,17","1,1,-1,-1,1","0.04100821,0.03767331,-0.08685027,-0.07991931,0.08192547",0.32737657,3,2,4,0,0.891363,0.850372,-0.040991,38,33,7
baseline_balanced_r010_t000_A_r8_rep0,baseline_balanced_r010_t000,random_delete_5,5,8,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0024,baseline_balanced_r010_t000_e0006,baseline_balanced_r010_t000_e0036,baseline_balanced_r010_t000_e0008,baseline_balanced_r010_t000_e0011","0,1,0,12,4","12,3,19,7,7","1,-1,-1,-1,-1","0.03767331,-0.03040745,-0.06306988,-0.04119609,-0.05286008",0.22520681,1,4,3,0,0.891363,0.88997,-0.001393,38,33,8
baseline_balanced_r010_t000_A_r9_rep0,baseline_balanced_r010_t000,random_delete_5,5,9,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0014,baseline_balanced_r010_t000_e0030,baseline_balanced_r010_t000_e0004,baseline_balanced_r010_t000_e0034,baseline_balanced_r010_t000_e0010","7,17,18,8,3","10,15,2,18,7","-1,1,-1,1,1","-0.0597898,0.09880388,-0.06697989,0.02287329,0.0499312",0.29837806,3,2,5,0,0.891363,0.867904,-0.023459,38,33,9
baseline_balanced_r010_t000_B_r0_rep0,baseline_balanced_r010_t000,target_strongest_5,5,0,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0027,baseline_balanced_r010_t000_e0030,baseline_balanced_r010_t000_e0000,baseline_balanced_r010_t000_e0013,baseline_balanced_r010_t000_e0026","17,17,2,6,9","14,15,0,9,13","1,1,1,1,-1","0.0997084,0.09880388,0.09833075,0.09832432,-0.09737635",0.4925437,4,1,3,0,0.891363,0.854985,-0.036378,38,33,
baseline_balanced_r010_t000_C_r0_rep0,baseline_balanced_r010_t000,target_hub_outgoing_5,5,0,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0000,baseline_balanced_r010_t000_e0021,baseline_balanced_r010_t000_e0002,baseline_balanced_r010_t000_e0017,baseline_balanced_r010_t000_e0022","2,10,10,2,2","0,12,1,11,12","1,1,1,-1,1","0.09833075,0.04100821,0.04555071,-0.08491566,0.06793031",0.33773564,4,1,5,0,0.891363,0.891023,-0.00034,38,33,0
baseline_balanced_r010_t000_D_r0_rep0,baseline_balanced_r010_t000,target_largest_scc_internal_5,5,0,500,500,1000,0,low_00,"baseline_balanced_r010_t000_e0019,baseline_balanced_r010_t000_e0016,baseline_balanced_r010_t000_e0027,baseline_balanced_r010_t000_e0022,baseline_balanced_r010_t000_e0033","16,7,17,2,15","11,11,14,12,17","1,1,1,1,1","0.06485201,0.06192566,0.0997084,0.06793031,0.08192547",0.37634185,5,0,5,0,0.891363,0.857638,-0.033725,38,33,0
chen_balanced_r010_t006_A_r0_rep0,chen_balanced_r010_t006,random_delete_5,5,0,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0018,chen_balanced_r010_t006_e0015,chen_balanced_r010_t006_e0005,chen_balanced_r010_t006_e0022,chen_balanced_r010_t006_e0014","9,2,1,1,12","10,10,3,12,10","-1,1,1,1,-1","-0.14647809,0.16775627,0.18105754,0.11824962,-0.1436602",0.75720172,3,2,1,0,0.971143,0.971143,0.0,38,33,10000
chen_balanced_r010_t006_A_r1_rep0,chen_balanced_r010_t006,random_delete_5,5,1,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0002,chen_balanced_r010_t006_e0023,chen_balanced_r010_t006_e0037,chen_balanced_r010_t006_e0015,chen_balanced_r010_t006_e0025","13,17,14,2,7","0,13,19,10,14","1,1,-1,1,-1","0.10785543,0.19503075,-0.16224615,0.16775627,-0.17205923",0.80494783,3,2,2,0,0.971143,0.965221,-0.005922,38,33,10001
chen_balanced_r010_t006_A_r2_rep0,chen_balanced_r010_t006,random_delete_5,5,2,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0022,chen_balanced_r010_t006_e0016,chen_balanced_r010_t006_e0009,chen_balanced_r010_t006_e0031,chen_balanced_r010_t006_e0001","1,19,17,1,11","12,10,7,17,0","1,-1,1,1,-1","0.11824962,-0.16903888,0.1543736,0.10279058,-0.14280346",0.68725614,3,2,3,0,0.971143,1.020421,0.049278,38,33,10002
chen_balanced_r010_t006_A_r3_rep0,chen_balanced_r010_t006,random_delete_5,5,3,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0027,chen_balanced_r010_t006_e0015,chen_balanced_r010_t006_e0010,chen_balanced_r010_t006_e0024,chen_balanced_r010_t006_e0037","8,2,13,15,14","14,10,7,13,19","-1,1,-1,1,-1","-0.17351061,0.16775627,-0.13270316,0.18068244,-0.16224615",0.81689863,2,3,1,0,0.971143,0.942919,-0.028224,38,33,10003
chen_balanced_r010_t006_A_r4_rep0,chen_balanced_r010_t006,random_delete_5,5,4,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0013,chen_balanced_r010_t006_e0005,chen_balanced_r010_t006_e0011,chen_balanced_r010_t006_e0029,chen_balanced_r010_t006_e0007","11,1,14,3,18","9,3,8,16,7","-1,1,-1,-1,1","-0.19632104,0.18105754,-0.15732738,-0.1492516,0.17193362",0.85589118,2,3,4,0,0.971143,0.928217,-0.042926,38,33,10004
chen_balanced_r010_t006_A_r5_rep0,chen_balanced_r010_t006,random_delete_5,5,5,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0007,chen_balanced_r010_t006_e0012,chen_balanced_r010_t006_e0015,chen_balanced_r010_t006_e0011,chen_balanced_r010_t006_e0037","18,19,2,14,14","7,8,10,8,19","1,1,1,-1,-1","0.17193362,0.16667851,0.16775627,-0.15732738,-0.16224615",0.82594193,3,2,1,0,0.971143,0.937883,-0.03326,38,33,10005
chen_balanced_r010_t006_A_r6_rep0,chen_balanced_r010_t006,random_delete_5,5,6,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0012,chen_balanced_r010_t006_e0004,chen_balanced_r010_t006_e0026,chen_balanced_r010_t006_e0013,chen_balanced_r010_t006_e0029","19,9,10,11,3","8,2,14,9,16","1,-1,-1,-1,-1","0.16667851,-0.18423979,-0.15865751,-0.19632104,-0.1492516",0.85514845,1,4,3,0,0.971143,0.965221,-0.005922,38,33,10006
chen_balanced_r010_t006_A_r7_rep0,chen_balanced_r010_t006,random_delete_5,5,7,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0001,chen_balanced_r010_t006_e0005,chen_balanced_r010_t006_e0022,chen_balanced_r010_t006_e0020,chen_balanced_r010_t006_e0028","11,1,1,3,2","0,3,12,11,14","-1,1,1,1,-1","-0.14280346,0.18105754,0.11824962,0.18778095,-0.19845202",0.82834359,3,2,3,0,0.971143,0.971143,0.0,38,33,10007
chen_balanced_r010_t006_A_r8_rep0,chen_balanced_r010_t006,random_delete_5,5,8,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0029,chen_balanced_r010_t006_e0020,chen_balanced_r010_t006_e0005,chen_balanced_r010_t006_e0015,chen_balanced_r010_t006_e0016","3,3,1,2,19","16,11,3,10,10","-1,1,1,1,-1","-0.1492516,0.18778095,0.18105754,0.16775627,-0.16903888",0.85488524,3,2,3,0,0.971143,1.020421,0.049278,38,33,10008
chen_balanced_r010_t006_A_r9_rep0,chen_balanced_r010_t006,random_delete_5,5,9,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0012,chen_balanced_r010_t006_e0027,chen_balanced_r010_t006_e0002,chen_balanced_r010_t006_e0018,chen_balanced_r010_t006_e0020","19,8,13,9,3","8,14,0,10,11","1,-1,1,-1,1","0.16667851,-0.17351061,0.10785543,-0.14647809,0.18778095",0.78230359,3,2,2,0,0.971143,0.951875,-0.019268,38,33,10009
chen_balanced_r010_t006_B_r0_rep0,chen_balanced_r010_t006,target_strongest_5,5,0,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0028,chen_balanced_r010_t006_e0013,chen_balanced_r010_t006_e0023,chen_balanced_r010_t006_e0008,chen_balanced_r010_t006_e0020","2,11,17,16,3","14,9,13,7,11","-1,-1,1,-1,1","-0.19845202,-0.19632104,0.19503075,-0.18846486,0.18778095",0.96604962,2,3,4,0,0.971143,0.971143,0.0,38,33,
chen_balanced_r010_t006_C_r0_rep0,chen_balanced_r010_t006,target_hub_outgoing_5,5,0,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0036,chen_balanced_r010_t006_e0032,chen_balanced_r010_t006_e0013,chen_balanced_r010_t006_e0033,chen_balanced_r010_t006_e0002","11,11,11,13,13","19,18,9,18,0","1,1,-1,1,1","0.12035868,0.1003624,-0.19632104,0.1328023,0.10785543",0.65769985,4,1,4,0,0.971143,0.971143,0.0,38,33,10000
chen_balanced_r010_t006_D_r0_rep0,chen_balanced_r010_t006,target_largest_scc_internal_5,5,0,500,500,1000,0,medium_00,"chen_balanced_r010_t006_e0013,chen_balanced_r010_t006_e0005,chen_balanced_r010_t006_e0033,chen_balanced_r010_t006_e0029,chen_balanced_r010_t006_e0008","11,1,13,3,16","9,3,18,16,7","-1,1,1,-1,-1","-0.19632104,0.18105754,0.1328023,-0.1492516,-0.18846486",0.84789734,2,3,5,0,0.971143,0.971143,0.0,38,33,10000
chen_balanced_r025_t000_A_r0_rep0,chen_balanced_r025_t000,random_delete_5,5,0,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0094,chen_balanced_r025_t000_e0048,chen_balanced_r025_t000_e0084,chen_balanced_r025_t000_e0074,chen_balanced_r025_t000_e0069","14,19,4,1,12","19,9,17,15,14","-1,-1,1,-1,1","-0.10988938,-0.17749559,0.17385766,-0.10065947,0.14544963",0.70735173,2,3,5,0,1.071771,1.098567,0.026796,95,90,20000
chen_balanced_r025_t000_A_r1_rep0,chen_balanced_r025_t000,random_delete_5,5,1,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0042,chen_balanced_r025_t000_e0074,chen_balanced_r025_t000_e0006,chen_balanced_r025_t000_e0061,chen_balanced_r025_t000_e0058","14,1,19,1,6","8,15,1,11,11","1,-1,-1,-1,-1","0.1671356,-0.10065947,-0.13154213,-0.14643568,-0.10971998",0.65549286,1,4,5,0,1.071771,1.08067,0.008899,95,90,20001
chen_balanced_r025_t000_A_r2_rep0,chen_balanced_r025_t000,random_delete_5,5,2,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0072,chen_balanced_r025_t000_e0036,chen_balanced_r025_t000_e0044,chen_balanced_r025_t000_e0029,chen_balanced_r025_t000_e0002","8,2,15,8,11","14,7,8,5,0","-1,-1,-1,1,1","-0.11461569,-0.13130409,-0.16333427,0.14937414,0.18987588",0.74850407,2,3,5,0,1.071771,1.062201,-0.00957,95,90,20002
chen_balanced_r025_t000_A_r3_rep0,chen_balanced_r025_t000,random_delete_5,5,3,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0041,chen_balanced_r025_t000_e0026,chen_balanced_r025_t000_e0038,chen_balanced_r025_t000_e0031,chen_balanced_r025_t000_e0035","9,10,6,16,14","8,5,7,6,6","1,1,1,1,-1","0.13853505,0.15381826,0.18516738,0.12526945,-0.10244693",0.70523707,4,1,5,0,1.071771,1.040409,-0.031362,95,90,20003
chen_balanced_r025_t000_A_r4_rep0,chen_balanced_r025_t000,random_delete_5,5,4,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0030,chen_balanced_r025_t000_e0074,chen_balanced_r025_t000_e0093,chen_balanced_r025_t000_e0060,chen_balanced_r025_t000_e0028","15,1,7,18,9","6,15,19,11,5","-1,-1,1,1,-1","-0.18400719,-0.10065947,0.15311245,0.18921685,-0.12446649",0.75146245,2,3,5,0,1.071771,1.04983,-0.021941,95,90,20004
chen_balanced_r025_t000_A_r5_rep0,chen_balanced_r025_t000,random_delete_5,5,5,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0027,chen_balanced_r025_t000_e0021,chen_balanced_r025_t000_e0080,chen_balanced_r025_t000_e0035,chen_balanced_r025_t000_e0044","11,16,5,14,15","5,4,16,6,8","-1,-1,-1,-1,-1","-0.10561745,-0.15958342,-0.17510032,-0.10244693,-0.16333427",0.70608239,0,5,5,0,1.071771,1.064939,-0.006832,95,90,20005
chen_balanced_r025_t000_A_r6_rep0,chen_balanced_r025_t000,random_delete_5,5,6,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0017,chen_balanced_r025_t000_e0007,chen_balanced_r025_t000_e0038,chen_balanced_r025_t000_e0006,chen_balanced_r025_t000_e0023","15,16,6,19,18","3,1,7,1,4","1,1,1,-1,-1","0.1927756,0.14814987,0.18516738,-0.13154213,-0.14976811",0.80740309,3,2,5,0,1.071771,1.04348,-0.028291,95,90,20006
chen_balanced_r025_t000_A_r7_rep0,chen_balanced_r025_t000,random_delete_5,5,7,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0042,chen_balanced_r025_t000_e0075,chen_balanced_r025_t000_e0008,chen_balanced_r025_t000_e0019,chen_balanced_r025_t000_e0013","14,2,4,17,0","8,15,2,4,2","1,1,1,1,-1","0.1671356,0.18793227,0.19247988,0.10169159,-0.18831496",0.8375543,4,1,5,0,1.071771,1.077428,0.005657,95,90,20007
chen_balanced_r025_t000_A_r8_rep0,chen_balanced_r025_t000,random_delete_5,5,8,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0059,chen_balanced_r025_t000_e0020,chen_balanced_r025_t000_e0085,chen_balanced_r025_t000_e0024,chen_balanced_r025_t000_e0062","7,14,14,12,5","11,4,17,4,11","1,-1,1,-1,1","0.14190681,-0.19411019,0.18431277,-0.1702859,0.17863297",0.86924864,3,2,5,0,1.071771,1.040643,-0.031128,95,90,20008
chen_balanced_r025_t000_A_r9_rep0,chen_balanced_r025_t000,random_delete_5,5,9,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0036,chen_balanced_r025_t000_e0063,chen_balanced_r025_t000_e0006,chen_balanced_r025_t000_e0032,chen_balanced_r025_t000_e0091","2,18,19,8,2","7,12,1,6,19","-1,1,-1,1,1","-0.13130409,0.16873277,-0.13154213,0.11297225,0.10921611",0.65376735,3,2,5,0,1.071771,1.082051,0.01028,95,90,20009
chen_balanced_r025_t000_B_r0_rep0,chen_balanced_r025_t000,target_strongest_5,5,0,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0092,chen_balanced_r025_t000_e0064,chen_balanced_r025_t000_e0056,chen_balanced_r025_t000_e0020,chen_balanced_r025_t000_e0017","12,11,15,14,15","19,12,11,4,3","1,1,-1,-1,1","0.1985405,0.19778743,-0.19671078,-0.19411019,0.1927756",0.9799245,3,2,5,0,1.071771,1.046221,-0.02555,95,90,
chen_balanced_r025_t000_C_r0_rep0,chen_balanced_r025_t000,target_hub_outgoing_5,5,0,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0048,chen_balanced_r025_t000_e0081,chen_balanced_r025_t000_e0001,chen_balanced_r025_t000_e0051,chen_balanced_r025_t000_e0006","19,19,19,19,19","9,17,0,10,1","-1,1,1,-1,-1","-0.17749559,0.14050754,0.11933764,-0.14333287,-0.13154213",0.71221577,2,3,5,0,1.071771,1.051698,-0.020073,95,90,20000
chen_balanced_r025_t000_D_r0_rep0,chen_balanced_r025_t000,target_largest_scc_internal_5,5,0,500,500,1000,0,low_00,"chen_balanced_r025_t000_e0001,chen_balanced_r025_t000_e0050,chen_balanced_r025_t000_e0021,chen_balanced_r025_t000_e0004,chen_balanced_r025_t000_e0078","19,1,16,14,12","0,10,4,1,16","1,-1,-1,1,-1","0.11933764,-0.1586039,-0.15958342,0.12417187,-0.12150096",0.68319779,2,3,5,0,1.071771,1.064246,-0.007525,95,90,20000
chen_balanced_r025_t000_A_r0_rep1,chen_balanced_r025_t000,random_delete_5,5,0,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0043,chen_balanced_r025_t000_e0053,chen_balanced_r025_t000_e0061,chen_balanced_r025_t000_e0078,chen_balanced_r025_t000_e0024","7,11,1,12,12","8,10,11,16,4","-1,1,-1,-1,-1","-0.17096318,0.17909002,-0.14643568,-0.12150096,-0.1702859",0.78827574,1,4,5,0,1.071771,1.098701,0.02693,95,90,21000
chen_balanced_r025_t000_A_r1_rep1,chen_balanced_r025_t000,random_delete_5,5,1,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0075,chen_balanced_r025_t000_e0011,chen_balanced_r025_t000_e0046,chen_balanced_r025_t000_e0093,chen_balanced_r025_t000_e0094","2,18,0,7,14","15,2,9,19,19","1,1,1,1,-1","0.18793227,0.11353677,0.18765578,0.15311245,-0.10988938",0.75212665,4,1,5,0,1.071771,1.0252,-0.046571,95,90,21001
chen_balanced_r025_t000_A_r2_rep1,chen_balanced_r025_t000,random_delete_5,5,2,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0017,chen_balanced_r025_t000_e0027,chen_balanced_r025_t000_e0036,chen_balanced_r025_t000_e0021,chen_balanced_r025_t000_e0028","15,11,2,16,9","3,5,7,4,5","1,-1,-1,-1,-1","0.1927756,-0.10561745,-0.13130409,-0.15958342,-0.12446649",0.71374705,1,4,5,0,1.071771,1.064731,-0.00704,95,90,21002
chen_balanced_r025_t000_A_r3_rep1,chen_balanced_r025_t000,random_delete_5,5,3,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0050,chen_balanced_r025_t000_e0074,chen_balanced_r025_t000_e0017,chen_balanced_r025_t000_e0001,chen_balanced_r025_t000_e0021","1,1,15,19,16","10,15,3,0,4","-1,-1,1,1,-1","-0.1586039,-0.10065947,0.1927756,0.11933764,-0.15958342",0.73096003,2,3,5,0,1.071771,1.057407,-0.014364,95,90,21003
chen_balanced_r025_t000_A_r4_rep1,chen_balanced_r025_t000,random_delete_5,5,4,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0021,chen_balanced_r025_t000_e0007,chen_balanced_r025_t000_e0064,chen_balanced_r025_t000_e0004,chen_balanced_r025_t000_e0087","16,16,11,14,13","4,1,12,1,18","-1,1,1,1,-1","-0.15958342,0.14814987,0.19778743,0.12417187,-0.15676526",0.78645785,3,2,5,0,1.071771,1.062736,-0.009035,95,90,21004
chen_balanced_r025_t000_A_r5_rep1,chen_balanced_r025_t000,random_delete_5,5,5,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0072,chen_balanced_r025_t000_e0044,chen_balanced_r025_t000_e0006,chen_balanced_r025_t000_e0003,chen_balanced_r025_t000_e0079","8,15,19,7,7","14,8,1,1,16","-1,-1,-1,1,-1","-0.11461569,-0.16333427,-0.13154213,0.12577896,-0.13507739",0.67034844,1,4,5,0,1.071771,1.076048,0.004277,95,90,21005
chen_balanced_r025_t000_A_r6_rep1,chen_balanced_r025_t000,random_delete_5,5,6,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0051,chen_balanced_r025_t000_e0089,chen_balanced_r025_t000_e0030,chen_balanced_r025_t000_e0054,chen_balanced_r025_t000_e0070","19,8,15,13,9","10,18,6,10,14","-1,1,-1,1,-1","-0.14333287,0.10599116,-0.18400719,0.18454048,-0.14531188",0.76318358,2,3,5,0,1.071771,1.066357,-0.005414,95,90,21006
chen_balanced_r025_t000_A_r7_rep1,chen_balanced_r025_t000,random_delete_5,5,7,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0061,chen_balanced_r025_t000_e0030,chen_balanced_r025_t000_e0037,chen_balanced_r025_t000_e0085,chen_balanced_r025_t000_e0066","1,15,13,14,4","11,6,7,17,12","-1,-1,-1,1,-1","-0.14643568,-0.18400719,-0.11049777,0.18431277,-0.12958235",0.75483576,1,4,5,0,1.071771,1.041227,-0.030544,95,90,21007
chen_balanced_r025_t000_A_r8_rep1,chen_balanced_r025_t000,random_delete_5,5,8,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0016,chen_balanced_r025_t000_e0067,chen_balanced_r025_t000_e0089,chen_balanced_r025_t000_e0087,chen_balanced_r025_t000_e0030","12,3,8,13,15","3,13,18,18,6","-1,1,1,-1,-1","-0.13077566,0.18836569,0.10599116,-0.15676526,-0.18400719",0.76590496,2,3,5,0,1.071771,1.058929,-0.012842,95,90,21008
chen_balanced_r025_t000_A_r9_rep1,chen_balanced_r025_t000,random_delete_5,5,9,500,500,1000,1,medium_00,"chen_balanced_r025_t000_e0027,chen_balanced_r025_t000_e0036,chen_balanced_r025_t000_e0002,chen_balanced_r025_t000_e0079,chen_balanced_r025_t000_e0090","11,2,11,7,17","5,7,0,16,18","-1,-1,1,-1,1","-0.10561745,-0.13130409,0.18987588,-0.13507739,0.18329504",0.74516985,2,3,5,0,1.071771,1.042895,-0.028876,95,90,21009
